Name,Place,lat,lon
童姐秘制家,中山大道77号时尚明苑5栋105号(车陂BRT线附近150米),23.131854,113.401523
丽轩中餐厅,广州市天河区珠江新城兴安路3号福利丽思卡尔顿酒店3楼,23.12213,113.333984
万豪酒店中餐厅,南山区海德一道88号中洲控股中心A座中洲万豪酒店44F层,22.522607,113.940593
万豪酒店中餐厅,宝兴路8号,22.553088,113.887318
佳兆业万豪酒店-万豪中餐厅,大鹏新区棕榈大道33号佳兆业万豪酒店3层,22.575671,114.465889
万豪茶餐厅,深圳市宝安区松岗街道溪头沙江路113号万濠酒店一楼,22.779881,113.843873
佳兆业万豪酒店-金沙全日餐厅,棕榈大道33号佳兆业万豪酒店1楼,22.575498,114.466096
金茂深圳JW万豪酒店-宴会厅,广东省深圳市福田区深南大道6005号金茂深圳JW万豪酒店3楼,22.542495,114.03879
深圳前海华侨城JW万豪大酒店-宴会厅,广东省深圳市宝安区宝兴路8号,22.55274,113.887514
鲜日本餐厅,海德一道88号中洲控股中心A座中洲万豪酒店44F,22.522181,113.940759
半岛御珍轩酒家,二沙岛渔唱街1号新创举中心2-3层,23.113746,113.314581
御珍轩酒家-停车场,晴波路39号附近,23.113984,113.314898
御珍轩酒家停车场-出入口,晴波路39号附近,23.1139,113.315084
悦湖公馆,广东省广州市白云区同和南湖中路3号,23.222746,113.331983
筅SEN.日本茶贩売店,广州市天河区天河南一路与正佳大街交叉路口往南约50米(天河南小区),23.135641,113.332742
肥豚肉骨茶(北京路店),越秀区文明路36-48号精彩大厦首层(消防局正对面),23.127846,113.276904
来电(肥豚肉骨茶北京路店),"广州市越秀区文明路36-48号精彩大厦1楼7-8号铺,12-20号铺",23.127842,113.276887
赏点(广州塔店),阅江西路222号广州塔西区首层125号铺,23.112236,113.330993
包点点心,广东省广州市增城区光明路34号附近,23.291775,113.842147
点点点心,广东省广州市增城区群贤路170号附近,23.115199,113.614279
点点心意,海珠中路44号,23.124402,113.262463
点点,广州市从化区龙城南路与龙潭大道交叉路口北侧,23.675321,113.420798
ALAN'S KITCHEN(广州K11购物艺术中心店),广州市天河区珠江东路6号广州K11购物艺术中心B1,23.123114,113.332349
街电(唐荔园食艺馆侨美集团分公司),广州市荔湾区黄沙大道如意坊路口荔湾湖公园内,23.124251,113.238009
桃园湘菜,广州市荔湾区流花新街23号,23.147947,113.258681
侨美食家(沙面总店),荔湾区沙面南街52-2号,23.112175,113.250565
侨美食家(珠江新城店),广东省广州市天河区兴盛路10号隽峰苑2楼,23.12595,113.337593
吴川好味来,广东省广州市海珠区西畔里后街5号,23.084422,113.291839
TWGTea沙龙与精品店(天汇igc店),珠江新城兴民路222号天汇广场igcL110,23.121291,113.337948
永恒养生蒸汽锅,广东省广州市番禺区番禺大道北797号,22.977206,113.375508
1920PRIME(建设路店),越秀区建设六马路1号前栋4楼(近东风东路),23.137769,113.291355
万绿山语(西关海店),广东省广州市荔湾区南岸路47号,23.138622,113.235324
Mr.F180°夜景露台餐厅,广东省广州市越秀区中山三路33号中华国际中心B座54楼5414号,23.13153,113.288432
炳胜品味(珠江新城旗舰店),珠江新城冼村路2号首府大厦1-4楼(近临江大道),23.120525,113.334749
炳胜品味(海印总店),广州市海珠区东晓路33号,23.111995,113.292665
炳胜品味(黄埔大道店),黄埔大道西108奥园大厦1-4层,23.131808,113.34441
wilber's(农林下路店),广东省广州市越秀区竹丝岗二马路62号,23.134857,113.302825
佰鲜汇(广州四季酒店),广东省广州市珠江西路5号国际金融中心四季酒店100楼(近地铁珠江新城站),23.123251,113.329385
华逸四季酒店,广州市从化区中新北路与政通街交叉路口北侧(吕田中心小学西侧),23.818328,113.960996
花园酒店荔湾亭,广州市越秀区环市东路368号花园酒店2楼,23.141499,113.292855
MR·ROCKY洛奇先生牛仔餐吧(琶醍店),磨碟沙大街118号珠江琶醍啤酒文化创意艺术区B区06、07,23.113158,113.345687
MR.ROCKY洛奇先生餐吧(时代广场店),广州市天河区天河北路28号时代广场1-5层时代广场F1,23.146206,113.323275
洛奇先生餐吧(太古仓店),革新路124号太古仓电影院隔壁首层,23.095491,113.25909
Rocky Tailor,广东省广州市增城区洋角街,23.287635,113.828509
芳村榕树头叹佬鸡煲(文明路店),北京路文明路68号,23.128099,113.277452
芳村榕树头叹佬鸡煲(体育西店),广东省广州市天河区天河中心体育西横街86号,23.134444,113.330603
芳村榕树头叹佬鸡煲(江南西店),广州市海珠区江南西路66号江南汇美食广场1楼1006-1008、1039号,23.100857,113.276356
芳村榕树头叹佬鸡煲,锦御三街1号花湾天地112一116铺,23.074556,113.246339
芳村榕树头叹佬鸡煲(珠影店),新港中路珠影星光城110-111铺,23.100552,113.328126
芳村榕树头叹佬鸡煲(万胜围店),广州市海珠区万胜围地铁站D出口宸悦路琶洲新村美食广场A区1015-1016,23.107775,113.389223
芳村榕树头叹佬鸡煲(igc天汇店),广州市天河区珠江新城兴民路222号IGC天汇广场L4层,23.12192,113.339314
芳村榕树头叹佬鸡煲(东圃店),广州市天河区中山大道中284号JUStimes聚时代星座广场F1,23.127435,113.410454
芳村榕树头·叹佬鸡煲(萝岗万达店),科丰路77号萝岗万达广场香雪商业街南区B141,23.171763,113.472402
